cellID,SSB,statisticalError,DSB,statisticalError
21,7e-06,1.37186e-05,0,0
64,0.000116,8.15875e-05,2.4e-06,3.59212e-06
121,4.1e-05,4.04171e-05,2e-07,3.91961e-07
123,6.56e-05,4.82884e-05,8e-07,1.23941e-06
132,5.1e-05,5.89488e-05,8e-07,1.23941e-06
245,1.58e-05,1.44017e-05,0,0
299,3.1e-05,4.11062e-05,1.4e-06,2.74373e-06
305,3.12e-05,5.52305e-05,8e-07,1.56784e-06
343,1.8e-06,3.52765e-06,0,0
385,6.02e-05,4.46586e-05,4e-07,5.54261e-07
389,2.8e-06,5.48745e-06,0,0
407,2.64e-05,2.91836e-05,0,0
410,3.6e-05,3.59734e-05,1.6e-06,2.2853e-06
418,1e-05,1.9598e-05,0,0
423,3.72e-05,3.37691e-05,6e-07,8.76381e-07
513,1e-05,1.11806e-05,0,0
544,5.06e-05,7.3433e-05,3.2e-06,5.89238e-06
546,0.0001032,0.000189756,2e-06,3.91961e-06
555,6e-06,1.17588e-05,0,0
581,1.94e-05,3.0118e-05,8e-07,1.56784e-06
603,1.44e-05,1.99611e-05,6e-07,8.76381e-07
625,8e-06,1.11405e-05,0,0
633,4.6e-06,6.30735e-06,2e-07,3.91961e-07
687,4.96e-05,4.51085e-05,1.4e-06,2.03652e-06
779,1.16e-05,2.27337e-05,0,0
809,2.2e-06,4.31157e-06,0,0
1014,2.78e-05,4.50393e-05,8e-07,1.23941e-06
1064,2.18e-05,2.88077e-05,2e-07,3.91961e-07
1081,3.6e-06,7.05529e-06,0,0
1092,8e-07,1.56784e-06,0,0
1180,1.38e-05,1.48342e-05,2e-07,3.91961e-07
1249,5.56e-05,7.39193e-05,1.4e-06,1.95962e-06
1334,1.62e-05,2.2463e-05,0,0
1348,9.24e-05,0.000127014,2.6e-06,4.3821e-06
1375,6.76e-05,0.000114329,2e-06,3.91961e-06
1413,3.86e-05,3.08401e-05,2e-07,3.91961e-07
1426,2e-07,3.91961e-07,0,0
1514,9.8e-06,1.14992e-05,0,0
1600,1.12e-05,1.3889e-05,0,0
1620,1.28e-05,1.34952e-05,4e-07,7.83922e-07
1625,2.72e-05,2.45378e-05,6e-07,8.76381e-07
1703,1.4e-06,2.74373e-06,0,0
1720,3.14e-05,3.37167e-05,6e-07,8.76381e-07
1832,2.42e-05,2.83383e-05,0,0
1867,6e-07,1.17588e-06,0,0
1891,7.8e-06,1.52865e-05,0,0
1941,2e-06,3.91961e-06,0,0
2003,3.8e-06,5.6116e-06,0,0
2078,4.12e-05,3.61736e-05,8e-07,1.56784e-06
2137,2.8e-06,5.48745e-06,0,0
2158,6e-06,1.17588e-05,0,0
2163,0.0001406,0.000264424,3.4e-06,6.66333e-06
2182,3.34e-05,5.83006e-05,1.6e-06,3.13569e-06
2197,1.18e-05,1.05061e-05,0,0
2274,3.1e-05,3.25671e-05,1e-06,1.4131e-06
2298,3.12e-05,6.11459e-05,6e-07,1.17588e-06
2326,6.18e-05,4.86805e-05,2.8e-06,3.75913e-06
2350,9.8e-06,1.63728e-05,0,0
2443,3.4e-06,6.66333e-06,0,0
2461,3e-06,5.87941e-06,0,0
2472,1.02e-05,1.45858e-05,0,0
2532,1.22e-05,2.03699e-05,2e-07,3.91961e-07
2541,1.44e-05,2.66991e-05,2e-07,3.91961e-07
2551,3.8e-06,7.44726e-06,0,0
2596,4.98e-05,3.61121e-05,6e-07,8.76381e-07
2684,4.04e-05,3.01556e-05,6e-07,8.76381e-07
2695,2.8e-06,5.48745e-06,0,0
2716,8.04e-05,0.000100658,1.2e-06,1.66278e-06
2722,8e-05,9.80219e-05,1.6e-06,2.41604e-06
2724,4.2e-06,8.23118e-06,0,0
2739,2.2e-05,3.64193e-05,4e-07,7.83922e-07
2740,1.32e-05,1.57442e-05,2e-07,3.91961e-07
2744,1.54e-05,3.0181e-05,0,0
2753,3.66e-05,5.68039e-05,6e-07,1.17588e-06
2754,0.0001458,0.000211811,5.2e-06,8.0895e-06
2835,6.92e-05,6.37408e-05,1.6e-06,1.91989e-06
2849,5.4e-06,1.05829e-05,0,0
2881,6.8e-06,1.33267e-05,6e-07,1.17588e-06
2948,3.98e-05,3.70457e-05,1e-06,1.4131e-06
2991,1.92e-05,2.84143e-05,0,0
3008,3.88e-05,4.20345e-05,6e-07,1.17588e-06
3054,0.000111,0.000121401,2.6e-06,2.90626e-06
3071,3.02e-05,3.83689e-05,6e-07,1.17588e-06
3093,1.24e-05,1.72624e-05,0,0
3128,8.86e-05,0.000143671,2.6e-06,5.09549e-06
3135,7.6e-06,1.08896e-05,0,0
3170,0.0001734,0.000141834,3.4e-06,2.95803e-06
3176,2.24e-05,2.60717e-05,8e-07,1.23941e-06
3179,1.18e-05,2.31257e-05,0,0
3186,3.38e-05,3.94292e-05,1e-06,1.29982e-06
3252,1.62e-05,3.17488e-05,4e-07,7.83922e-07
3254,2.66e-05,4.49784e-05,2e-07,3.91961e-07
3318,3.06e-05,5.997e-05,4e-07,7.83922e-07
3329,8e-06,1.04133e-05,0,0
3334,4e-06,7.83922e-06,0,0
3399,0.0001588,0.00026778,4e-06,6.76606e-06
3413,2.96e-05,3.00325e-05,6e-07,1.17588e-06
3470,3.6e-06,5.25829e-06,0,0
3481,9e-06,1.76382e-05,0,0
3552,1.44e-05,1.73942e-05,2e-07,3.91961e-07
3562,1.26e-05,2.46935e-05,0,0
3588,2.42e-05,2.95436e-05,2e-07,3.91961e-07
3612,8.08e-05,0.000110418,2.4e-06,4.70353e-06
3620,3.14e-05,3.34881e-05,2e-07,3.91961e-07
3627,5.34e-05,8.41721e-05,1.4e-06,2.74373e-06
3676,2.32e-05,2.32549e-05,2e-07,3.91961e-07
3680,1.64e-05,3.21408e-05,0,0
3689,2.38e-05,3.30076e-05,6e-07,1.17588e-06
3714,9.2e-06,1.29394e-05,0,0
3721,4.88e-05,6.35694e-05,4e-07,5.54261e-07
3743,2e-06,3.91961e-06,0,0
3761,2.6e-06,5.09549e-06,0,0
3775,2.12e-05,2.40745e-05,0,0
3794,0.0001074,0.000116182,4.4e-06,4.79945e-06
3797,7.4e-06,1.37409e-05,4e-07,7.83922e-07
3800,0.0001048,0.000106495,3.6e-06,4.43385e-06
3821,3.7e-05,3.95282e-05,1.2e-06,1.99854e-06
3826,3.38e-05,3.55864e-05,4e-07,7.83922e-07
3834,1.48e-05,1.68282e-05,4e-07,5.54261e-07
3863,2.52e-05,3.40134e-05,0,0
3885,9.2e-06,1.80302e-05,2e-07,3.91961e-07
3890,5.46e-05,4.48872e-05,4e-07,5.54261e-07
3937,4.34e-05,5.22693e-05,8e-07,9.59944e-07
3939,4.8e-05,3.61841e-05,6e-07,6.7876e-07
3943,1.28e-05,2.50855e-05,2e-07,3.91961e-07
3946,1.44e-05,1.84489e-05,4e-07,5.54261e-07
3949,9.08e-05,0.000100779,2.4e-06,3.63465e-06
3962,5.82e-05,0.000114061,1e-06,1.9598e-06
3963,9.4e-06,1.84222e-05,4e-07,7.83922e-07
3969,3.16e-05,3.63124e-05,0,0
3973,1.6e-06,3.13569e-06,0,0
3979,2.9e-05,3.29018e-05,1e-06,1.17567e-06
4053,2.34e-05,2.19669e-05,6e-07,1.17588e-06
4062,9.62e-05,9.23447e-05,3.8e-06,4.65355e-06
4063,7.4e-06,1.45025e-05,0,0
4075,3.4e-06,6.66333e-06,0,0
4079,2.26e-05,3.13954e-05,1.6e-06,3.13569e-06
4121,7.24e-05,6.44835e-05,8e-07,9.59944e-07
4146,6.7e-05,9.39464e-05,1.2e-06,2.35176e-06
4150,2.22e-05,4.35076e-05,6e-07,1.17588e-06
4155,5.2e-05,4.17668e-05,6e-07,8.76381e-07
4158,8.22e-05,5.06321e-05,1.4e-06,1.70825e-06
4166,3.74e-05,3.54061e-05,6e-07,8.76381e-07
4172,9.16e-05,5.43115e-05,1.6e-06,1.46606e-06
4193,0.0001492,0.000167753,5.4e-06,7.10866e-06
4202,7.2e-06,1.41106e-05,0,0
4213,4.4e-06,8.62314e-06,0,0
4217,4.66e-05,3.23397e-05,2e-07,3.91961e-07
4242,6e-06,1.17588e-05,0,0
4263,2.36e-05,2.63756e-05,6e-07,8.76381e-07
4295,7.72e-05,5.91234e-05,2.2e-06,2.18171e-06
4300,8.36e-05,5.23537e-05,1.4e-06,1.29954e-06
4321,0.0001274,0.000214882,4e-06,7.45748e-06
4356,2.14e-05,1.9883e-05,4e-07,5.54261e-07
4387,6e-06,1.17588e-05,0,0
4411,5.9e-05,6.66326e-05,1e-06,1.9598e-06
4413,3.32e-05,2.98293e-05,6e-07,8.76381e-07
4423,1.46e-05,2.32041e-05,2e-07,3.91961e-07
4457,2.02e-05,2.91216e-05,0,0
4470,3.8e-05,2.73468e-05,4e-07,5.54261e-07
4476,4.06e-05,5.72518e-05,1.6e-06,1.83811e-06
4488,1.16e-05,1.95267e-05,0,0
4524,3.16e-05,5.14417e-05,2.6e-06,5.09549e-06
4534,5.8e-06,8.15541e-06,0,0
4543,5.58e-05,4.3952e-05,1e-06,1.17567e-06
4550,4.7e-05,4.46466e-05,6e-07,8.76381e-07
4553,4.1e-05,4.38875e-05,1.8e-06,2.85337e-06
4554,3.62e-05,2.76921e-05,6e-07,6.7876e-07
4555,2.96e-05,3.10092e-05,6e-07,6.7876e-07
4557,2.9e-05,3.78372e-05,2e-07,3.91961e-07
4561,6e-06,9.99269e-06,0,0
4565,2.94e-05,2.72734e-05,2e-07,3.91961e-07
4569,1.62e-05,2.28294e-05,2e-07,3.91961e-07
4591,0.000146,0.000172031,3.4e-06,5.55676e-06
4593,3e-06,4.23931e-06,0,0
4597,7.2e-06,9.97669e-06,0,0
4598,6.76e-05,0.000105175,2.2e-06,4.31157e-06
4599,4.4e-06,8.62314e-06,2e-07,3.91961e-07
4603,1.22e-05,1.45107e-05,2e-07,3.91961e-07
4612,1.22e-05,1.70159e-05,2e-07,3.91961e-07
4615,1.2e-06,2.35176e-06,0,0
4626,9.6e-06,1.88141e-05,4e-07,7.83922e-07
4629,1.82e-05,2.17528e-05,2e-07,3.91961e-07
4642,1.02e-05,1.48985e-05,2e-07,3.91961e-07
4649,1.76e-05,3.44926e-05,6e-07,1.17588e-06
4652,2.12e-05,2.63888e-05,2e-07,3.91961e-07
4658,8.5e-05,0.000101874,2.8e-06,5.11047e-06
4665,5.4e-06,6.9557e-06,0,0
4672,4.08e-05,4.8319e-05,8e-07,1.10852e-06
4680,1.54e-05,2.79279e-05,0,0
4691,2.18e-05,4.27237e-05,8e-07,1.56784e-06
4693,1.6e-06,3.13569e-06,0,0
4695,1.94e-05,2.42252e-05,2e-07,3.91961e-07
4699,4.18e-05,3.35618e-05,2e-07,3.91961e-07
4710,3.08e-05,3.22043e-05,8e-07,1.23941e-06
4716,1.56e-05,2.00296e-05,4e-07,7.83922e-07
4722,3.4e-06,6.66333e-06,0,0
4723,7.2e-06,1.41106e-05,0,0
4728,8.6e-06,1.32623e-05,2e-07,3.91961e-07
4732,7.8e-06,1.52865e-05,0,0
4743,3.2e-06,6.27137e-06,0,0
4760,2.8e-06,5.48745e-06,0,0
4778,0.000212,0.000407713,4.4e-06,8.62314e-06
4782,6.98e-05,8.00512e-05,8e-07,1.56784e-06
4790,8.02e-05,7.66306e-05,2.2e-06,3.25563e-06
4795,3.38e-05,3.46943e-05,6e-07,8.76381e-07
4798,4.2e-05,7.48824e-05,1.8e-06,3.52765e-06
4825,1.12e-05,2.19498e-05,0,0
4829,1.4e-06,2.74373e-06,0,0
4839,1.72e-05,1.87609e-05,0,0
4853,5.38e-05,5.05399e-05,8e-07,9.59944e-07
4855,3.32e-05,3.10559e-05,0,0
4858,4.82e-05,5.62535e-05,1.6e-06,2.14661e-06
4865,1.38e-05,1.35909e-05,0,0
4876,6.74e-05,5.14436e-05,1.6e-06,2.07379e-06
4884,1.26e-05,2.11397e-05,0,0
4886,2.72e-05,2.49538e-05,4e-07,5.54261e-07
4887,4.18e-05,4.25465e-05,1e-06,1.29982e-06
4893,8.56e-05,6.92714e-05,2.8e-06,3.27879e-06
4905,3.2e-06,6.27137e-06,0,0
4909,3.08e-05,2.88892e-05,1e-06,1.4131e-06
4912,2.24e-05,2.29496e-05,8e-07,1.56784e-06
4913,1.2e-06,2.35176e-06,0,0
4918,6.88e-05,7.07995e-05,1.6e-06,1.99832e-06
4922,8e-06,1.56784e-05,0,0
4923,2.4e-05,3.07342e-05,2e-07,3.91961e-07
4925,1.74e-05,1.98937e-05,2e-07,3.91961e-07
4932,0.0001074,0.000104373,3e-06,4.48587e-06
4936,4.42e-05,4.43484e-05,4e-07,7.83922e-07
4941,4.4e-05,4.32629e-05,8e-07,1.56784e-06
4947,5.8e-06,1.13669e-05,4e-07,7.83922e-07
4949,8.84e-05,7.21865e-05,1.6e-06,2.07379e-06
4950,3.14e-05,5.42663e-05,1.6e-06,3.13569e-06
4952,3.18e-05,3.04752e-05,2e-07,3.91961e-07
4956,7.1e-05,5.08782e-05,1.4e-06,1.79595e-06
4960,1.24e-05,2.10706e-05,2e-07,3.91961e-07
4965,2.44e-05,2.60703e-05,4e-07,5.54261e-07
4966,2.16e-05,2.68503e-05,6e-07,8.76381e-07
4969,7e-06,1.37186e-05,0,0
4970,3.4e-06,6.66333e-06,0,0
4976,0.0001226,0.000166673,3.6e-06,4.50263e-06
4984,4.4e-06,6.48761e-06,0,0
4988,1.3e-05,1.45207e-05,6e-07,8.76381e-07
4990,6.4e-06,9.47145e-06,0,0
4991,9.2e-06,1.276e-05,0,0
5006,4.2e-06,8.23118e-06,2e-07,3.91961e-07
5012,1.16e-05,2.27337e-05,2e-07,3.91961e-07
5013,2.28e-05,3.09342e-05,4e-07,7.83922e-07
5014,5.12e-05,4.46655e-05,2e-07,3.91961e-07
5018,3.14e-05,2.67195e-05,2e-07,3.91961e-07
5020,5.24e-05,5.78864e-05,2e-06,2.82621e-06
5031,2.9e-05,3.67912e-05,2e-07,3.91961e-07
5035,5.32e-05,6.91253e-05,1.4e-06,1.95962e-06
